player=0,SET:BCEG
player=1,SET:ABFG
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:C,E
player=1,MOV:A,N
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:B,N
player=0,MOV:A,E
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:C,W
player=1,MOV:B,N
player=0,MOV:C,E
player=1,MOV:B,N
player=0,MOV:H,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:C,E
player=0,MOV:D,W
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:E,N
player=0,MOV:H,E
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,N
player=0,MOV:B,W
player=1,MOV:F,N
player=0,MOV:B,W
player=1,MOV:C,W
player=0,MOV:C,N
player=1,MOV:E,S
player=0,MOV:D,W
player=1,MOV:C,E
player=0,MOV:G,E
player=1,MOV:F,N
player=0,MOV:H,S
player=1,MOV:F,N
player=0,MOV:C,W
player=1,MOV:E,W
player=0,MOV:C,W
player=1,MOV:F,N
player=0,MOV:D,E
player=1,MOV:F,N
player=0,MOV:G,W
player=1,MOV:G,N
player=0,MOV:H,W
player=1,MOV:E,N
player=0,MOV:B,S
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:E,N
player=0,MOV:C,E
player=1,MOV:G,N
player=0,MOV:H,N
player=1,MOV:G,W
player=0,MOV:H,N
player=1,MOV:E,N
player=0,MOV:D,N
winner=1
