player=0,SET:AEFG
player=1,SET:ACDH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:D,W
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:A,E
player=1,MOV:C,E
player=0,MOV:A,E
player=1,MOV:E,N
player=0,MOV:A,E
player=1,MOV:E,W
player=0,MOV:A,E
player=1,MOV:E,N
player=0,MOV:A,S
player=1,MOV:E,S
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:C,E
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:C,E
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:C,S
player=0,MOV:D,W
player=1,MOV:C,N
player=0,MOV:D,W
player=1,MOV:C,S
player=0,MOV:D,W
player=1,MOV:C,N
player=0,MOV:D,W
winner=0
