player=0,SET:BCFH
player=1,SET:BCDG
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:D,E
player=1,MOV:B,N
player=0,MOV:B,W
player=1,MOV:B,W
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:B,W
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,E
player=1,MOV:C,E
player=0,MOV:A,E
player=1,MOV:D,N
player=0,MOV:B,W
player=1,MOV:D,N
player=0,MOV:A,W
player=1,MOV:D,N
player=0,MOV:E,N
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:C,E
player=1,MOV:F,W
player=0,MOV:D,N
player=1,MOV:B,E
player=0,MOV:C,N
player=1,MOV:F,E
player=0,MOV:D,N
player=1,MOV:B,E
player=0,MOV:D,E
winner=0
