player=1,SET:ADGH
player=0,SET:CDFG
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:A,W
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:B,W
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:D,S
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:E,N
player=1,MOV:A,W
player=0,MOV:F,N
player=1,MOV:C,E
player=0,MOV:F,N
player=1,MOV:B,N
player=0,MOV:F,W
player=1,MOV:C,W
player=0,MOV:F,N
player=1,MOV:C,W
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:E,N
player=1,MOV:B,W
player=0,MOV:G,N
player=1,MOV:G,N
player=0,MOV:E,S
player=1,MOV:G,N
player=0,MOV:E,S
player=1,MOV:G,N
player=0,MOV:G,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:B,N
player=0,MOV:F,E
player=1,MOV:B,W
winner=1
