player=1,SET:ACEH
player=0,SET:BDFH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:A,W
player=1,MOV:A,E
player=0,MOV:C,N
player=1,MOV:B,W
player=0,MOV:A,E
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,E
player=1,MOV:E,N
player=0,MOV:A,W
player=1,MOV:E,N
player=0,MOV:A,S
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,E
player=0,MOV:C,S
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:D,E
player=0,MOV:C,E
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,W
player=0,MOV:A,N
player=1,MOV:H,N
player=0,MOV:A,E
player=1,MOV:H,N
player=0,MOV:A,E
player=1,MOV:H,N
player=0,MOV:A,N
player=1,MOV:B,E
player=0,MOV:C,E
player=1,MOV:H,N
player=0,MOV:C,N
player=1,MOV:H,N
player=0,MOV:C,S
player=1,MOV:H,E
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:D,N
winner=2
