player=1,SET:ABDH
player=0,SET:ABDG
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:G,E
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,E
player=1,MOV:B,W
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,E
player=1,MOV:C,N
player=0,MOV:B,E
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:E,W
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:C,E
player=0,MOV:C,N
player=1,MOV:C,E
player=0,MOV:C,E
player=1,MOV:F,W
player=0,MOV:C,E
player=1,MOV:G,N
player=0,MOV:C,S
player=1,MOV:G,N
player=0,MOV:C,N
player=1,MOV:G,N
player=0,MOV:C,S
player=1,MOV:E,N
player=0,MOV:C,S
player=1,MOV:G,N
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:C,E
winner=1
